,Kalimantan,Sumatra,Thailand,Sabah Sarawak,Peninsular Malaysia
7/1/2025,3,39,0,0,7
7/2/2025,32,10,3,1,0
7/3/2025,19,3,0,1,0
7/4/2025,7,12,0,2,0
7/5/2025,2,42,0,2,0
7/6/2025,14,46,1,1,4
7/7/2025,1,8,0,0,0
7/8/2025,7,2,0,5,0
7/9/2025,7,3,0,6,2
7/10/2025,0,9,0,0,0
7/11/2025,4,41,0,0,8
7/12/2025,15,4,1,0,0
7/13/2025,29,6,0,2,1
7/14/2025,5,0,0,3,0
7/15/2025,0,1,0,2,1
7/16/2025,5,64,0,0,0
7/17/2025,3,55,0,0,1
7/18/2025,8,79,3,0,4
7/19/2025,30,65,0,0,4
7/20/2025,64,40,0,15,4
7/21/2025,59,67,0,13,1
7/22/2025,35,81,0,4,1
7/23/2025,91,42,1,11,2
7/24/2025,154,22,0,17,1
7/25/2025,80,7,4,32,0
7/26/2025,77,37,0,28,1
7/27/2025,78,23,0,2,5
7/28/2025,109,38,1,16,4
7/29/2025,351,30,0,26,1
7/30/2025,394,6,0,19,1
7/31/2025,115,14,1,11,1
8/1/2025,48,14,2,5,1
8/2/2025,12,52,14,0,4
8/3/2025,10,3,7,0,0
8/4/2025,3,0,1,1,0
8/5/2025,9,0,0,1,0
8/6/2025,5,4,0,0,0
8/7/2025,40,16,3,0,9
8/8/2025,61,6,13,0,6
8/9/2025,0,8,11,0,0
8/10/2025,14,2,2,0,0
8/11/2025,12,2,4,1,0
8/12/2025,0,13,11,0,0
8/13/2025,0,5,0,0,0
8/14/2025,5,3,4,0,3
8/15/2025,1,2,0,0,0
8/16/2025,13,14,0,6,0
8/17/2025,2,47,0,0,0
8/18/2025,4,102,1,0,3
8/19/2025,6,6,0,2,0
8/20/2025,0,3,1,0,0
8/21/2025,0,11,0,0,0
8/22/2025,6,88,0,2,0
8/23/2025,51,62,1,0,1
8/24/2025,42,3,3,0,0
8/25/2025,10,6,0,0,0
8/26/2025,85,24,0,0,0
8/27/2025,74,31,0,8,0
8/28/2025,184,42,0,3,0
8/29/2025,62,55,8,0,0
8/30/2025,258,3,0,3,2
8/31/2025,6,1,0,0,0
9/1/2025,49,1,1,5,0
9/2/2025,4,1,1,0,0
9/3/2025,0,2,2,0,1
9/4/2025,12,5,2,0,0
9/5/2025,6,0,0,0,0
9/6/2025,0,0,1,0,0
9/7/2025,1,1,0,0,0
9/8/2025,0,10,1,0,1
9/9/2025,3,1,0,0,0
9/10/2025,3,1,0,0,0
9/11/2025,26,0,0,0,0
9/12/2025,2,0,2,0,0
9/13/2025,0,1,2,0,0
9/14/2025,1,19,2,0,0
9/15/2025,14,1,2,0,0
9/16/2025,5,0,0,0,0
9/17/2025,0,1,0,0,0
9/18/2025,0,8,1,0,0
9/19/2025,5,19,2,0,0
9/20/2025,8,1,9,0,2
9/21/2025,63,8,0,6,0
9/22/2025,633,7,0,12,0
9/23/2025,124,14,1,4,1
9/24/2025,145,105,1,3,5
9/25/2025,29,85,1,0,2
9/26/2025,154,23,0,3,0
9/27/2025,205,9,0,14,0
9/28/2025,78,5,0,7,0
9/29/2025,5,0,0,0,1
9/30/2025,0,4,1,0,0
10/1/2025,6,5,0,1,2
10/2/2025,78,0,0,2,1
10/3/2025,22,0,0,0,0
10/4/2025,0,12,1,0,0
10/5/2025,1,42,8,0,6
10/6/2025,2,6,5,0,0
10/7/2025,23,4,0,5,1
10/8/2025,71,5,0,1,0
10/9/2025,17,9,0,0,0
10/10/2025,13,16,5,0,4
10/11/2025,5,18,4,0,1
10/12/2025,92,1,0,1,0
10/13/2025,64,0,0,3,0
10/14/2025,58,0,0,5,0
10/15/2025,26,14,1,0,0
10/16/2025,10,12,3,0,1
10/17/2025,5,0,0,0,0
10/18/2025,68,0,0,0,0
10/19/2025,2,0,0,1,0
10/20/2025,0,0,0,0,0
10/21/2025,1,1,8,0,3
10/22/2025,0,0,0,0,0
10/23/2025,4,0,0,0,0
10/24/2025,0,0,0,0,0
10/25/2025,0,4,0,0,0
10/26/2025,0,10,1,0,3
10/27/2025,0,9,2,0,1
10/28/2025,4,6,0,2,0
10/29/2025,7,2,0,2,0
10/30/2025,0,10,0,0,0
10/31/2025,2,82,0,0,3
11/1/2025,5,53,0,1,1
11/2/2025,10,20,0,0,1
11/3/2025,30,6,0,10,0
